Volatility 3 Framework 2.28.0

Plugin	Description	Created Date	Modified Date	Accessed Date	Changed Date
ThrdScan	Thread: Tid 1376 in Pid 1204 (Offset 157810085220480)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 1372 in Pid 4 (Offset 157810085228608)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 1476 in Pid 1344 (Offset 157810085269568)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 4560 in Pid 972 (Offset 157810085277760)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 72 in Pid 68 (Offset 157810085286016)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 1524 in Pid 1344 (Offset 157810085290048)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 104 in Pid 4 (Offset 157810085294208)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 1556 in Pid 1344 (Offset 157810085298240)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 112 in Pid 4 (Offset 157810085310592)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 116 in Pid 4 (Offset 157810085318784)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 128 in Pid 4 (Offset 157810085326976)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 1340 in Pid 792 (Offset 157810085347456)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 56 in Pid 4 (Offset 157810085355648)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 1352 in Pid 792 (Offset 157810085359744)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 136 in Pid 4 (Offset 157810085372032)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 2752 in Pid 1344 (Offset 157810085376128)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 140 in Pid 4 (Offset 157810085380224)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 4900 in Pid 600 (Offset 157810085384320)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 148 in Pid 4 (Offset 157810085388416)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 152 in Pid 4 (Offset 157810085396608)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 1296 in Pid 1956 (Offset 157810085400704)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 156 in Pid 4 (Offset 157810085404800)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 1528 in Pid 1172 (Offset 157810085408896)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 36 in Pid 4 (Offset 157810085425280)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
